,sex.x,subject_name,YAG.x,SECTIONNAME.x,YAG.y,SECTIONNAME.y,count,qualification_TR.x
1,F,Nursing and midwifery,3,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,5,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,9210,First degree
2,F,Education and teaching,3,EDUCATION,5,EDUCATION,5220,First degree
3,F,Allied health,3,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,5,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,2180,First degree
4,M,Computing,3,INFORMATION AND COMMUNICATION,5,INFORMATION AND COMMUNICATION,2100,First degree
5,F,Creative arts and design,3,WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,5,WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,1925,First degree
6,F,Medicine and dentistry,3,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,5,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,1870,First degree
7,M,Engineering,3,MANUFACTURING,5,MANUFACTURING,1670,First degree
8,F,Law,3,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",5,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",1615,First degree
9,M,Medicine and dentistry,3,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,5,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,1515,First degree
10,M,Engineering,3,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",5,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",1415,First degree
11,M,Business and management,3,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",5,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",1275,First degree
12,F,Business and management,3,WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,5,WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,1260,First degree
13,F,Business and management,3,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",5,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",1185,First degree
14,M,Business and management,3,WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,5,WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,1100,First degree
15,F,English studies,3,EDUCATION,5,EDUCATION,1100,First degree
16,M,Business and management,3,FINANCIAL AND INSURANCE ACTIVITIES,5,FINANCIAL AND INSURANCE ACTIVITIES,1065,First degree
17,F,Health and social care,3,EDUCATION,5,EDUCATION,1040,First degree
18,F,Psychology,3,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,5,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,975,First degree
19,F,Education and teaching,3,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,5,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,925,First degree
20,F,Psychology,3,EDUCATION,5,EDUCATION,880,First degree
21,F,"Sociology, social policy and anthropology",3,PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY,5,PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY,765,First degree
22,M,Business and management,3,INFORMATION AND COMMUNICATION,5,INFORMATION AND COMMUNICATION,745,First degree
23,M,Business and management,3,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,5,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,740,First degree
24,M,Law,3,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",5,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",740,First degree
25,M,Sport and exercise sciences,3,EDUCATION,5,EDUCATION,720,First degree
26,M,Nursing and midwifery,3,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,5,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,710,First degree
27,F,Creative arts and design,3,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",5,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",690,First degree
28,F,Health and social care,3,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,5,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,685,First degree
29,M,Education and teaching,3,EDUCATION,5,EDUCATION,675,First degree
30,F,Business and management,3,FINANCIAL AND INSURANCE ACTIVITIES,5,FINANCIAL AND INSURANCE ACTIVITIES,670,First degree
31,F,"Sociology, social policy and anthropology",3,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,5,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,650,First degree
32,F,Performing arts,3,EDUCATION,5,EDUCATION,630,First degree
33,F,"Sociology, social policy and anthropology",3,EDUCATION,5,EDUCATION,625,First degree
34,F,Business and management,3,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,5,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,605,First degree
35,M,Economics,3,FINANCIAL AND INSURANCE ACTIVITIES,5,FINANCIAL AND INSURANCE ACTIVITIES,605,First degree
36,F,Creative arts and design,3,EDUCATION,5,EDUCATION,605,First degree
37,F,History and archaeology,3,EDUCATION,5,EDUCATION,590,First degree
38,F,Medical sciences,3,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,5,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,580,First degree
39,F,Business and management,3,EDUCATION,5,EDUCATION,575,First degree
40,F,Business and management,3,INFORMATION AND COMMUNICATION,5,INFORMATION AND COMMUNICATION,575,First degree
41,M,Creative arts and design,3,WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,5,WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,565,First degree
42,F,Business and management,3,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,5,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,545,First degree
43,F,Sport and exercise sciences,3,EDUCATION,5,EDUCATION,530,First degree
44,M,Allied health,3,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,5,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,520,First degree
45,M,"Architecture, building and planning",3,CONSTRUCTION,5,CONSTRUCTION,520,First degree
46,F,Biosciences,3,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",5,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",505,First degree
47,M,Computing,3,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",5,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",490,First degree
48,M,"Geography, earth and environmental studies",3,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",5,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",485,First degree
49,M,Business and management,3,MANUFACTURING,5,MANUFACTURING,485,First degree
50,M,Computing,3,WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,5,WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,480,First degree
51,M,Creative arts and design,3,INFORMATION AND COMMUNICATION,5,INFORMATION AND COMMUNICATION,470,First degree
52,M,"Architecture, building and planning",3,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",5,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",470,First degree
53,F,"Geography, earth and environmental studies",3,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",5,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",470,First degree
54,M,Economics,3,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",5,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",465,First degree
55,F,Biosciences,3,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,5,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,460,First degree
56,M,Mathematical sciences,3,FINANCIAL AND INSURANCE ACTIVITIES,5,FINANCIAL AND INSURANCE ACTIVITIES,445,First degree
57,F,Creative arts and design,3,INFORMATION AND COMMUNICATION,5,INFORMATION AND COMMUNICATION,445,First degree
58,F,Psychology,3,PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY,5,PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY,440,First degree
59,F,English studies,3,INFORMATION AND COMMUNICATION,5,INFORMATION AND COMMUNICATION,425,First degree
60,F,English studies,3,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",5,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",415,First degree
61,M,Engineering,3,INFORMATION AND COMMUNICATION,5,INFORMATION AND COMMUNICATION,415,First degree
62,F,Education and teaching,3,PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY,5,PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY,405,First degree
63,F,Business and management,3,MANUFACTURING,5,MANUFACTURING,395,First degree
64,F,"Media, journalism and communications",3,INFORMATION AND COMMUNICATION,5,INFORMATION AND COMMUNICATION,395,First degree
65,M,Business and management,3,TRANSPORTATION AND STORAGE,5,TRANSPORTATION AND STORAGE,395,First degree
66,M,Creative arts and design,3,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",5,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",395,First degree
67,F,Biosciences,3,EDUCATION,5,EDUCATION,380,First degree
68,F,History and archaeology,3,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",5,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",375,First degree
69,M,"Media, journalism and communications",3,INFORMATION AND COMMUNICATION,5,INFORMATION AND COMMUNICATION,365,First degree
70,M,Computing,3,FINANCIAL AND INSURANCE ACTIVITIES,5,FINANCIAL AND INSURANCE ACTIVITIES,360,First degree
71,M,Engineering,3,CONSTRUCTION,5,CONSTRUCTION,355,First degree
72,F,Combined and general studies,3,EDUCATION,5,EDUCATION,355,First degree
73,M,Business and management,3,PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY,5,PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY,350,First degree
74,F,Law,3,PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY,5,PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY,340,First degree
75,F,"Geography, earth and environmental studies",3,EDUCATION,5,EDUCATION,340,First degree
76,M,History and archaeology,3,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",5,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",335,First degree
77,F,Psychology,3,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",5,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",335,First degree
78,F,Business and management,3,ACCOMMODATION AND FOOD SERVICE ACTIVITIES,5,ACCOMMODATION AND FOOD SERVICE ACTIVITIES,335,First degree
79,F,Veterinary sciences,3,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",5,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",325,First degree
80,M,Engineering,3,WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,5,WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,325,First degree
81,M,Business and management,3,ACCOMMODATION AND FOOD SERVICE ACTIVITIES,5,ACCOMMODATION AND FOOD SERVICE ACTIVITIES,320,First degree
