"","sex.x","subject_name","YAG.x","SECTIONNAME.x","YAG.y","SECTIONNAME.y","count","qualification_TR.x"
"1","F","Nursing and midwifery",3,"HUMAN HEALTH AND SOCIAL WORK ACTIVITIES",5,"HUMAN HEALTH AND SOCIAL WORK ACTIVITIES",9240,"First degree"
"2","F","Education and teaching",3,"EDUCATION",5,"EDUCATION",5640,"First degree"
"3","F","Allied health",3,"HUMAN HEALTH AND SOCIAL WORK ACTIVITIES",5,"HUMAN HEALTH AND SOCIAL WORK ACTIVITIES",2220,"First degree"
"4","F","Medicine and dentistry",3,"HUMAN HEALTH AND SOCIAL WORK ACTIVITIES",5,"HUMAN HEALTH AND SOCIAL WORK ACTIVITIES",2015,"First degree"
"5","F","Creative arts and design",3,"WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES",5,"WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES",1970,"First degree"
"6","M","Computing",3,"INFORMATION AND COMMUNICATION",5,"INFORMATION AND COMMUNICATION",1870,"First degree"
"7","M","Engineering",3,"MANUFACTURING",5,"MANUFACTURING",1815,"First degree"
"8","F","Law",3,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",5,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",1670,"First degree"
"9","M","Medicine and dentistry",3,"HUMAN HEALTH AND SOCIAL WORK ACTIVITIES",5,"HUMAN HEALTH AND SOCIAL WORK ACTIVITIES",1485,"First degree"
"10","M","Engineering",3,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",5,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",1445,"First degree"
"11","M","Business and management",3,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",5,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",1315,"First degree"
"12","F","Business and management",3,"WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES",5,"WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES",1300,"First degree"
"13","F","Business and management",3,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",5,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",1255,"First degree"
"14","F","English studies",3,"EDUCATION",5,"EDUCATION",1210,"First degree"
"15","F","Health and social care",3,"EDUCATION",5,"EDUCATION",1175,"First degree"
"16","M","Business and management",3,"WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES",5,"WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES",1135,"First degree"
"17","M","Business and management",3,"FINANCIAL AND INSURANCE ACTIVITIES",5,"FINANCIAL AND INSURANCE ACTIVITIES",1100,"First degree"
"18","F","Psychology",3,"HUMAN HEALTH AND SOCIAL WORK ACTIVITIES",5,"HUMAN HEALTH AND SOCIAL WORK ACTIVITIES",1035,"First degree"
"19","F","Education and teaching",3,"HUMAN HEALTH AND SOCIAL WORK ACTIVITIES",5,"HUMAN HEALTH AND SOCIAL WORK ACTIVITIES",985,"First degree"
"20","F","Psychology",3,"EDUCATION",5,"EDUCATION",905,"First degree"
"21","M","Sport and exercise sciences",3,"EDUCATION",5,"EDUCATION",755,"First degree"
"22","M","Law",3,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",5,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",750,"First degree"
"23","M","Business and management",3,"INFORMATION AND COMMUNICATION",5,"INFORMATION AND COMMUNICATION",740,"First degree"
"24","F","Business and management",3,"FINANCIAL AND INSURANCE ACTIVITIES",5,"FINANCIAL AND INSURANCE ACTIVITIES",740,"First degree"
"25","F","Sociology, social policy and anthropology",3,"PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY",5,"PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY",735,"First degree"
"26","F","Health and social care",3,"HUMAN HEALTH AND SOCIAL WORK ACTIVITIES",5,"HUMAN HEALTH AND SOCIAL WORK ACTIVITIES",730,"First degree"
"27","M","Business and management",3,"ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES",5,"ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES",720,"First degree"
"28","M","Nursing and midwifery",3,"HUMAN HEALTH AND SOCIAL WORK ACTIVITIES",5,"HUMAN HEALTH AND SOCIAL WORK ACTIVITIES",700,"First degree"
"29","F","Performing arts",3,"EDUCATION",5,"EDUCATION",695,"First degree"
"30","F","Creative arts and design",3,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",5,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",685,"First degree"
"31","M","Education and teaching",3,"EDUCATION",5,"EDUCATION",675,"First degree"
"32","F","Sociology, social policy and anthropology",3,"EDUCATION",5,"EDUCATION",665,"First degree"
"33","F","Medical sciences",3,"HUMAN HEALTH AND SOCIAL WORK ACTIVITIES",5,"HUMAN HEALTH AND SOCIAL WORK ACTIVITIES",655,"First degree"
"34","F","History and archaeology",3,"EDUCATION",5,"EDUCATION",640,"First degree"
"35","F","Sociology, social policy and anthropology",3,"HUMAN HEALTH AND SOCIAL WORK ACTIVITIES",5,"HUMAN HEALTH AND SOCIAL WORK ACTIVITIES",630,"First degree"
"36","M","Creative arts and design",3,"WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES",5,"WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES",625,"First degree"
"37","M","Architecture, building and planning",3,"CONSTRUCTION",5,"CONSTRUCTION",615,"First degree"
"38","F","Creative arts and design",3,"EDUCATION",5,"EDUCATION",595,"First degree"
"39","F","Business and management",3,"ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES",5,"ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES",595,"First degree"
"40","F","Business and management",3,"EDUCATION",5,"EDUCATION",575,"First degree"
"41","F","Sport and exercise sciences",3,"EDUCATION",5,"EDUCATION",570,"First degree"
"42","M","Economics",3,"FINANCIAL AND INSURANCE ACTIVITIES",5,"FINANCIAL AND INSURANCE ACTIVITIES",570,"First degree"
"43","F","Business and management",3,"HUMAN HEALTH AND SOCIAL WORK ACTIVITIES",5,"HUMAN HEALTH AND SOCIAL WORK ACTIVITIES",565,"First degree"
"44","M","Geography, earth and environmental studies",3,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",5,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",545,"First degree"
"45","M","Allied health",3,"HUMAN HEALTH AND SOCIAL WORK ACTIVITIES",5,"HUMAN HEALTH AND SOCIAL WORK ACTIVITIES",540,"First degree"
"46","F","Business and management",3,"INFORMATION AND COMMUNICATION",5,"INFORMATION AND COMMUNICATION",530,"First degree"
"47","M","Economics",3,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",5,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",510,"First degree"
"48","M","Business and management",3,"MANUFACTURING",5,"MANUFACTURING",495,"First degree"
"49","F","Biosciences",3,"HUMAN HEALTH AND SOCIAL WORK ACTIVITIES",5,"HUMAN HEALTH AND SOCIAL WORK ACTIVITIES",495,"First degree"
"50","M","Architecture, building and planning",3,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",5,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",485,"First degree"
"51","M","Creative arts and design",3,"INFORMATION AND COMMUNICATION",5,"INFORMATION AND COMMUNICATION",480,"First degree"
"52","F","English studies",3,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",5,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",465,"First degree"
"53","M","Computing",3,"WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES",5,"WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES",460,"First degree"
"54","F","English studies",3,"INFORMATION AND COMMUNICATION",5,"INFORMATION AND COMMUNICATION",460,"First degree"
"55","M","Engineering",3,"INFORMATION AND COMMUNICATION",5,"INFORMATION AND COMMUNICATION",455,"First degree"
"56","F","Biosciences",3,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",5,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",450,"First degree"
"57","M","Computing",3,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",5,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",440,"First degree"
"58","F","Geography, earth and environmental studies",3,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",5,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",435,"First degree"
"59","F","History and archaeology",3,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",5,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",435,"First degree"
"60","M","Creative arts and design",3,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",5,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",435,"First degree"
"61","M","Mathematical sciences",3,"FINANCIAL AND INSURANCE ACTIVITIES",5,"FINANCIAL AND INSURANCE ACTIVITIES",430,"First degree"
"62","F","Media, journalism and communications",3,"INFORMATION AND COMMUNICATION",5,"INFORMATION AND COMMUNICATION",425,"First degree"
"63","F","Creative arts and design",3,"INFORMATION AND COMMUNICATION",5,"INFORMATION AND COMMUNICATION",420,"First degree"
"64","F","Psychology",3,"PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY",5,"PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY",400,"First degree"
"65","F","Business and management",3,"ACCOMMODATION AND FOOD SERVICE ACTIVITIES",5,"ACCOMMODATION AND FOOD SERVICE ACTIVITIES",400,"First degree"
"66","F","Combined and general studies",3,"EDUCATION",5,"EDUCATION",390,"First degree"
"67","M","Business and management",3,"TRANSPORTATION AND STORAGE",5,"TRANSPORTATION AND STORAGE",390,"First degree"
"68","M","History and archaeology",3,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",5,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",390,"First degree"
"69","M","Engineering",3,"CONSTRUCTION",5,"CONSTRUCTION",385,"First degree"
"70","M","Media, journalism and communications",3,"INFORMATION AND COMMUNICATION",5,"INFORMATION AND COMMUNICATION",380,"First degree"
"71","F","Business and management",3,"MANUFACTURING",5,"MANUFACTURING",370,"First degree"
"72","F","Biosciences",3,"EDUCATION",5,"EDUCATION",365,"First degree"
